Time for 1048576: 0.001850697000      (with 224816507/226667204)
Time for 2097152: 0.001806226000      (with 226675762/230288214)
Time for 3145728: 0.001814350000      (with 230293785/235736835)
Time for 4194304: 0.001790766250      (with 235741492/242904557)
Time for 5242880: 0.001784814400      (with 242910056/251834128)
Time for 6291456: 0.001801570500      (with 251839456/262648879)
Time for 7340032: 0.001788648286      (with 262654315/275174853)
Time for 8388608: 0.001790236625      (with 275180209/289502102)
Time for 9437184: 0.001822213444      (with 289507768/305907689)
Time for 10485760: 0.001803570800      (with 305914786/323950494)
Time for 11534336: 0.002334476455      (with 323956635/349635876)
Time for 12582912: 0.001894480500      (with 349642877/372376643)
Time for 13631488: 0.001807759231      (with 372383477/395884347)
Time for 14680064: 0.001814717214      (with 395890551/421296592)
Time for 15728640: 0.001858548800      (with 421305104/449183336)
Time for 16777216: 0.001803867500      (with 449191136/478053016)
Time for 17825792: 0.001821740176      (with 478059384/509028967)
Time for 18874368: 0.001801680833      (with 509038149/541468404)
Time for 19922944: 0.001807119579      (with 541475189/575810461)
Time for 20971520: 0.001810440600      (with 575816855/612025667)
Time for 22020096: 0.001810602190      (with 612035276/650057922)
Time for 23068672: 0.001804795273      (with 650064806/689770302)
Time for 24117248: 0.001813575696      (with 689777104/731489345)
Time for 25165824: 0.001809800375      (with 731497128/774932337)
Time for 26214400: 0.001866457240      (with 774939678/821601109)
Time for 27262976: 0.001800942577      (with 821608867/868433374)
Time for 28311552: 0.001805952111      (with 868440518/917201225)
Time for 29360128: 0.001814697500      (with 917209238/968020768)
Time for 30408704: -0.032635844724      (with 968026704/21587207)
Time for 31457280: 0.001803456767      (with 21594642/75698345)
Time for 32505856: 0.001810989581      (with 75720085/131860762)
Time for 33554432: 0.001806070563      (with 131870440/189664698)
Time for 34603008: 0.001811304424      (with 189670996/249444042)
Time for 35651584: 0.001819496500      (with 249451962/311314843)
Time for 36700160: 0.001811299571      (with 311322869/374718354)
Time for 37748736: 0.001846683361      (with 374726546/441207147)
Time for 38797312: 0.001812713595      (with 441215980/508286383)
Time for 39845888: 0.001809778658      (with 508297346/577068935)
Time for 40894464: 0.001807940282      (with 577075559/647585230)
Time for 41943040: 0.001806778300      (with 647594402/719865534)
Time for 42991616: 0.001808756390      (with 719873454/794032466)
Time for 44040192: 0.001806313024      (with 794041318/869906465)
Time for 45088768: 0.001804482140      (with 869914609/947507341)
Time for 46137344: -0.020861719841      (with 947515656/29599983)
Time for 47185920: 0.001813284667      (with 29607711/111205521)
Time for 48234496: 0.001807783000      (with 111214617/194372635)
Time for 49283072: 0.001807053596      (with 194381424/279312943)
Time for 50331648: 0.001927886521      (with 279319986/371858539)
Time for 51380224: 0.001830986265      (with 371867056/461585383)
Time for 52428800: 0.001819029160      (with 461593019/552544477)
Time for 53477376: 0.001831688686      (with 552552346/645968469)
Time for 54525952: 0.001802873673      (with 645976393/739725824)
Time for 55574528: 0.001812108396      (with 739733422/835775167)
Time for 56623104: 0.001806502481      (with 835782546/933333680)
Time for 57671680: -0.016323620909      (with 933340767/35541617)
Time for 58720256: 0.001808033571      (with 35549979/136799859)
Time for 59768832: 0.001828101158      (with 136809852/241011618)
Time for 60817408: 0.001809938293      (with 241019410/345995831)
Time for 61865984: 0.001811054542      (with 346003360/452855578)
Time for 62914560: 0.001808873933      (with 452864882/561397318)
Time for 63963136: 0.001802311705      (with 561405917/671346931)
Time for 65011712: 0.001804215097      (with 671355635/783216971)
Time for 66060288: 0.001829902063      (with 783226610/898510440)
